Category,Stakeholder Type,Question,Purpose,Follow-Up Probe,Use Stage
Tourism,Ministry or Tourism Board,How is the tourism sector preparing for AFCON 2027 visitor flows?,Understand strategic priorities,Which visitor segments are being prioritised?,First meeting
Tourism,Ministry or Tourism Board,Will there be cultural tourism packages linked to football visitors?,Identify product opportunities,Who is responsible for product development?,First meeting
Tourism,Ministry or Tourism Board,Are there opportunities for attachment or shadowing within tourism planning teams?,Find learning route,What process should an interested creative professional follow?,First meeting
Tourism,Tour operators,What kinds of experiences do visiting football fans usually request?,Learn market demand,How do prices and packages change during major events?,Research meeting
Tourism,Tour operators,Could a cafe-arts cultural night fit into visitor itineraries?,Test cafe arts concept,What would make such an experience sellable?,Pilot exploration
Culture,Cultural institutions,What cultural programming is being considered around AFCON 2027?,Find alignment,Who decides performance and programming opportunities?,First meeting
Culture,Cultural institutions,How can diaspora creatives contribute without displacing local artists?,Protect local legitimacy,Could mentorship or joint programming work?,First meeting
Culture,Cultural institutions,Are there youth performance or choreography programmes that need support?,Identify Rachael's contribution,Which groups or schools are active?,Programme discussion
Sport,FUFA/LOC-linked actors,Which official channels will handle cultural programming or ceremonies?,Find correct route,When will opportunities or EOIs be announced?,First meeting
Sport,FUFA/LOC-linked actors,How can creative professionals register interest without bypassing official process?,Avoid informal promises,Is there an official supplier/volunteer portal?,First meeting
Hospitality,Hotels,Will your hotel host AFCON-related guests, sponsors or receptions?,Assess opportunity,Who manages guest entertainment and cultural nights?,First meeting
Hospitality,Hotels,Would you consider curated Ugandan cultural evenings for visiting fans or VIP guests?,Test partnership,What standards and budgets would apply?,Pilot meeting
Hospitality,Hotels,What guest experience gaps do you expect during AFCON?,Learn pain points,Could culture programming improve those gaps?,Research meeting
Events,Event companies,Are you preparing for AFCON-related activations or tenders?,Find collaboration lane,Do you need creative direction or choreography support?,First meeting
Events,Event companies,What technical standards should Rachael understand for large-scale activations?,Identify skill gaps,Can she shadow or observe production planning?,Learning meeting
Sponsors,Brands,What audience do you want to reach during AFCON 2027?,Find brand value,How could culture and performance support that audience?,Sponsor meeting
Sponsors,Brands,Would a football-meets-culture activation fit your brand strategy?,Test sponsor concept,Would you prefer fan-zone, hotel, youth or digital activation?,Sponsor meeting
Media,Journalists/Media Houses,Would a diaspora creative economy angle around AFCON be of interest?,Build visibility,Would you prefer a profile, interview or op-ed angle?,Media outreach
Diaspora,UK-Uganda Networks,Which diaspora visitors are likely to travel or engage around AFCON?,Understand diaspora market,Could a cultural reception or creative travel package work?,Diaspora meeting
Cafe Arts,Cafes/Galleries/Venues,Do you host live performance, exhibitions or cultural nights?,Study operating model,What nights work best and what budgets are realistic?,Field research
Cafe Arts,Cafes/Galleries/Venues,Would you consider a small AFCON-themed cafe arts pilot?,Test pilot route,What would you need from the creative team?,Pilot meeting
