Budget Line,Low Pilot Estimate UGX,Medium Pilot Estimate UGX,High Pilot Estimate UGX,Notes,Confirmed/Assumption
Venue hire,0,500000,2000000,"Could be waived through venue partnership or revenue share",Assumption
Sound and basic technical support,300000,800000,2000000,"Depends on venue equipment and performance needs",Assumption
Performers/artists,500000,1500000,5000000,"Must budget fairly for artists; adjust by number and calibre",Assumption
Creative direction/choreography fee,TBD,TBD,TBD,"Rachael's professional fee should be agreed separately by scope",To confirm
Host/moderator,150000,300000,800000,"Can be internal for low pilot",Assumption
Photography/video documentation,250000,700000,2000000,"Use permission-cleared documentation",Assumption
Design/printing/signage,100000,300000,1000000,"Can be digital-first for low pilot",Assumption
Food/drink tasting support,500000,1500000,5000000,"Can be venue revenue model instead of project cost",Assumption
Transport/logistics,200000,600000,1500000,"Performer and materials movement",Assumption
Security/stewards,150000,500000,1500000,"Depends on venue and guest count",Assumption
Contingency,200000,800000,2000000,"Keep contingency visible",Assumption
Total,TBD,TBD,TBD,"Calculate after scope and venue are known",To calculate
