Risk ID,Risk,Probability,Impact,Warning Sign,Mitigation,Owner,Status,Notes
R1,Informal agents promise AFCON access for money,Medium,High,Unverified person asks for payment or guarantees role,Use only official channels and trusted referrals; never pay for vague opportunities,Project team,Open,Verify with CAF/FUFA/government/credible institution before action.
R2,Positioning undersells Rachael as a beginner,Medium,High,Messages ask for any work or internship only,Use senior creative consultant framing while allowing learning/shadowing as secondary route,Project team,Open,Protects her professional value.
R3,Outreach is too vague,High,Medium,Recipients do not understand what she offers,Use specific offer: creative direction choreography cultural programming visitor experience diaspora tourism,Project team,Open,Every message needs a clear ask.
R4,No verified contacts,High,Medium,Tracker has institutions but no named departments or people,Research and add verified contact persons gradually,Project team,Open,Do not invent emails or phone numbers.
R5,Government response is slow,High,Medium,No reply after 2 weeks,Parallel private-sector outreach to hotels agencies venues and sponsors,Project team,Open,Private pilots can build evidence.
R6,Unpaid work becomes exploitative,Medium,High,Role demands major labour without access learning credit or portfolio,Accept unpaid only if it creates references evidence learning or strategic access,Rachael,Open,Agree scope before contributing.
R7,Local artists feel bypassed by diaspora profile,Medium,High,Stakeholders question local inclusion,Frame Rachael as bridge mentor and collaborator not replacement,Project team,Open,Local partnership is essential.
R8,Concept appears too ambitious for first stage,Medium,Medium,Partners ask for budget or implementation proof,Offer small cafe-arts pilot first then scale,Project team,Open,Start with low-complexity pilots.
R9,AFCON operational plans change,Medium,High,Official timelines shift or opportunities delayed,Keep plan flexible and focus on tourism/culture legacy and pilots not only official tournament roles,Project team,Open,Useful even if official timelines change.
R10,Portfolio materials lack permissions,Medium,High,Images/videos cannot be shared publicly,Use only approved materials and provide website/credits where permitted,Rachael,Open,Protect professional reputation.
R11,No follow-up discipline,Medium,Medium,Messages sent but tracker not updated,Use weekly review and follow-up dates in tracker,Project team,Open,CRM discipline is critical.
R12,Concept lacks budget realism,Medium,Medium,Partners ask about costs and team cannot answer,Prepare mini budget with low/medium/high options,Project team,Open,Next-stage file needed.
